Library Name	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales|f__Chlamydiaceae|g__Chlamydia	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium	k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Proteus	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified|g__Proteobacteria_unclassified	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	other
CSM7KOOH	0.0	0.0	0.3809635619036438	0.0	0.00493509950649005	0.0	0.002067999793200021	0.3110926688907331	0.02784399721560028	0.0	0.0	1.2499998750000124e-05	0.0059840994015900595	0.007851799214820078	0.0	0.00012449998755000122	0.00015309998469000154	0.000300199969980003	0.0	0.00200299979970002	0.0	0.0027378997262100272	0.0002317999768200023	0.025863997413600254	0.01495229850477015	0.06618989338101067	0.0	0.0100845989915401	0.05069269493073051	0.0003098999690100031	0.0	0.0015380998461900154	0.0	0.003523299647670035	0.0	0.0003654999634500036	0.012614198738580126	0.0	0.0	0.0	0.0002797999720200028	0.0007567999243200075	0.06397539360246064	0.002551299744870117
CSMA9J65	0.0053061994693800515	0.0	0.7467860253213973	0.0	0.0	0.0	0.00013959998604000135	0.0	8.099999190000077e-06	0.0	0.0	0.0	0.0	0.0011319998868000109	0.0009124999087500088	0.01539599846040015	0.0	0.0	0.0	0.0	0.01443889855611014	0.0	0.00102159989784001	0.0009126999087300089	0.0	0.004082799591720039	0.02368949763105023	0.0021257997874200205	0.011108998889100108	0.02493809750619024	0.0006038999396100059	0.0010029998997000097	0.0	0.0	0.0018372998162700179	0.0	0.017252598274740166	0.04919899508010048	0.0	0.0	0.0	0.000516299948370005	0.07046179295382068	0.0071272992872704055
CSM7KOUL	0.003376699662330034	0.00036579996342000364	0.8633548136645185	0.0	0.0	0.0	0.0	0.00010509998949000105	0.03198529680147032	0.0	0.0	0.0	0.0	0.01195969880403012	0.0012312998768700123	4.349999565000043e-05	0.0007613999238600075	0.0	0.0	0.00044179995582000435	0.0	0.0	0.004750999524900048	0.03604639639536036	0.004965399503460049	0.03144229685577031	0.0011830998816900118	0.00010889998911000109	0.0009289999071000093	0.00017619998238000177	0.0	0.0012698998730100125	0.0	0.000701699929830007	0.0	0.0003285999671400033	0.003298899670110033	0.0	0.0	0.0	0.00034729996527000344	0.00026649997335000266	0.0	0.0005593999440601793
PSM7J15M	0.012556497488700502	0.0	0.00016519996696000663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00020239995952000812	0.0	0.06811838637632273	0.005097398980520204	0.011368197726360454	0.0	0.0006364998727000255	0.024898995020200997	0.0	0.034871893025621395	0.0	0.0	0.21850965629806876	0.0	0.4857610028477995	0.032637093472581306	0.0	0.0	0.006038698792260242	0.002947799410440118	0.0013912997217400559	0.0	0.0	0.0	0.017365996526800695	0.0	0.02437189512562098	0.0	0.008549698290060343	0.007052798589440283	0.0	0.0	0.03745859250828132
CSM9X211	0.0	0.0007450997764700672	0.7874807637557709	0.0	0.0	0.0	0.0	0.0	0.03486508954047315	0.0	0.0	9.979997006000899e-05	0.0	0.032291290312612915	0.011450496564851032	0.0008561997431400772	0.004125898762230372	0.0016689994993001505	0.0	0.001675899497230151	0.0009196997240900829	0.0	0.02282799315160206	0.02398099280570216	0.0001895999431200171	0.054142183757344885	0.003619198914240327	0.0	0.0024872992538102242	0.0002601999219400235	0.0	0.009730997080700876	0.0	0.0012023996392801085	0.0	0.0	0.0	0.0	0.0	0.0	8.559997432000772e-05	0.0	0.0	0.005294298411710363
MSMA26DG	0.0	0.0	0.4164447	0.0286588	0.0056704	0.0	0.0	0.09011620000000001	0.007471	0.0	0.0	0.0	0.0	0.0074852	0.0	0.0003582	0.0	0.0001124	0.0	0.0009658	0.0	0.0	0.00036470000000000003	0.0015316	0.008048699999999999	0.42953189999999997	0.0	0.0	0.0013379	0.0	0.0	0.0	0.0	0.0	0.00010899999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017935000000000034
CSM7KOOV	0.0022278997772100222	0.0	0.9168997083100292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003690799630920037	0.0	0.0	0.0012845998715400127	0.0	0.008512099148790085	0.0	0.031072196892780308	0.004540599545940045	0.0	0.0048729995127000485	0.006913099308690069	9.159999084000091e-05	0.0	0.011570298842970115	0.0	0.00014149998585000141	0.0	0.0	0.0007263999273600072	0.0	0.0036357996364200364	4.589999541000046e-05	0.0	0.0	0.0	5.3299994670000525e-05	0.0	0.0037211996278799786
ESM9IEP1	0.0008864000000000001	0.0007704000000000001	0.09841110000000002	0.0	0.005813100000000001	0.0005253	0.7102071000000001	0.0664445	0.0106443	0.0	0.0	0.0	0.0	0.014239900000000003	0.0	0.0008244000000000001	0.00013230000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.013951800000000002	0.020961900000000002	0.04149100000000001	0.0015138	5.67e-05	0.0019986000000000005	0.0	0.0	0.0	0.0	0.0049322	0.0	0.0	0.0	0.0017375000000000001	0.0	0.0	0.0	0.0	0.0	0.004457699999999898
HSM7J4M4	0.0828918	0.071234	0.1969499	0.002186	0.0031418	0.0	0.0288716	0.005466100000000001	0.0009687999999999999	0.0	0.0	0.023674900000000002	0.0	0.0166013	0.0013403999999999998	0.0054469	0.0198846	0.0146462	0.0	0.0	0.0060873	0.0	0.0218135	0.0013896	0.0190375	0.38010910000000003	0.0001226	0.0014027999999999998	0.0	0.0	0.0	0.0275697	0.0	0.0243657	0.0	0.008337599999999999	0.000113	0.0038043	0.0	0.0	0.015366200000000002	0.0	0.0	0.017176799999999992
CSM7KOPS	0.0	0.001910299808970019	0.5751837424816257	0.0	0.026926997307300266	0.0	0.034489496551050346	0.0008181999181800082	0.040041795995820396	0.0	7.01999929800007e-05	0.004684699531530047	0.00026539997346000264	0.0	0.0	0.010351298964870104	0.0025690997430900257	0.0	0.0	0.0	0.016658098334190165	0.0	0.0	0.0	0.0	0.1493293850670615	0.02312469768753023	0.0	0.0	0.0	0.0003376999662300034	0.0	0.0	0.0	0.0063520993647900635	0.036377696362230365	0.02504769749523025	0.0002421999757800024	0.0009790999020900097	0.0	0.00098579990142001	0.0014334998566500144	0.0	0.04182079581792064
